Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
5.76,0.00860192,0.000998456,0.00860191,0.000998455,0.00860191,0.000998455
5.78,0.00860194,0.000979614,0.00860193,0.000979612,0.00860193,0.000979612
5.8,0.0085993,0.000960847,0.00859929,0.000960846,0.00859929,0.000960846
5.82,0.00859405,0.000942161,0.00859405,0.000942159,0.00859405,0.000942159
5.84,0.00858625,0.000923559,0.00858624,0.000923557,0.00858624,0.000923557
5.86,0.00857595,0.000905044,0.00857594,0.000905043,0.00857594,0.000905043
5.88,0.0085632,0.000886623,0.00856319,0.000886621,0.00856319,0.000886621
5.9,0.00854806,0.000868297,0.00854805,0.000868295,0.00854805,0.000868295
5.92,0.00853058,0.000850071,0.00853057,0.000850069,0.00853057,0.000850069
5.94,0.00851081,0.000831948,0.0085108,0.000831947,0.0085108,0.000831947
5.96,0.0084888,0.000813933,0.00848879,0.000813931,0.00848879,0.000813931
5.98,0.00846461,0.000796028,0.0084646,0.000796026,0.0084646,0.000796026
6,0.00843828,0.000778236,0.00843828,0.000778234,0.00843828,0.000778234
6.02,0.00840988,0.000760562,0.00840987,0.00076056,0.00840987,0.00076056
6.04,0.00837944,0.000743007,0.00837944,0.000743006,0.00837943,0.000743006
6.06,0.00834703,0.000725576,0.00834702,0.000725574,0.00834702,0.000725574
6.08,0.00831268,0.000708271,0.00831267,0.000708269,0.00831267,0.000708269
6.1,0.00827645,0.000691094,0.00827644,0.000691092,0.00827644,0.000691092
6.12,0.00823838,0.000674049,0.00823838,0.000674047,0.00823838,0.000674047
6.14,0.00819854,0.000657138,0.00819853,0.000657136,0.00819853,0.000657136
6.16,0.00815696,0.000640364,0.00815695,0.000640362,0.00815695,0.000640362
6.18,0.00811369,0.000623729,0.00811368,0.000623727,0.00811368,0.000623727
6.2,0.00806877,0.000607236,0.00806877,0.000607234,0.00806876,0.000607234
6.22,0.00802227,0.000590886,0.00802226,0.000590884,0.00802226,0.000590884
6.24,0.00797422,0.000574682,0.00797421,0.00057468,0.00797421,0.00057468
6.26,0.00792466,0.000558626,0.00792466,0.000558624,0.00792466,0.000558624
6.28,0.00787366,0.00054272,0.00787365,0.000542719,0.00787365,0.000542719
6.3,0.00782124,0.000526966,0.00782123,0.000526965,0.00782123,0.000526965
6.32,0.00776745,0.000511366,0.00776744,0.000511365,0.00776744,0.000511365
6.34,0.00771234,0.000495921,0.00771233,0.00049592,0.00771233,0.00049592
6.36,0.00765596,0.000480634,0.00765595,0.000480632,0.00765595,0.000480632
6.38,0.00759834,0.000465505,0.00759833,0.000465503,0.00759832,0.000465503
6.4,0.00753952,0.000450536,0.00753951,0.000450534,0.00753951,0.000450534
